页码,评分,评价标签,评论原文
1,5分,超棒,"修定寺塔砖雕（难得一见，有很多已经流失海外了，河南博物院这块珍品就是死亡打光拍照效果不好……塔在安阳，据说黑神话悟空里有以之为原型……上面的砖雕极其精美，能不能联合安阳搞个复制品或者VR……）

精美的佛像，有荥阳大海寺遗址出土的佛像，据说大海寺原是李渊修建，以其规模宏大如海而得名，可惜现在只能从出土文物中想象其昔日荣光了

白釉莲花灯，造型别致，有一个同款文创冰箱贴还会亮

元结墓碑，为颜真卿书写，原碑在鲁山县，河南博物院展出的照片实在是看着有点费劲……拓片是平顶山博物馆（现在已成河南博物院分院……）拍的，看着清楚多了。颜真卿亲书的碑也不多见，应该认真观摩。

《唐诗三百首》中收录了两首元结的诗，一为《石鱼湖醉歌》，一为《贼退示官吏》，可以想见其为人。

石鱼湖上醉歌

漫叟以公田米酿酒，因休暇，则载酒于湖上，时取一醉。欢醉中，据湖岸，引臂向鱼取酒，使舫载之，遍饮坐者。意疑倚巴丘酌于君山之上，诸子环洞庭而坐，酒舫泛泛然触波涛。而往来者，乃作歌以长之。

石鱼湖，似洞庭，夏水欲满君山青。
山为樽，水为沼，酒徒历历坐洲岛。
长风连日作大浪，不能废人运酒舫。
我持长瓢坐巴丘，酌饮四坐以散愁。

贼退示官吏

癸卯岁，西原贼入道州，焚烧杀掠，几尽而去。明年，贼又攻永破邵，不犯此州边鄙而退。岂力能制敌与？盖蒙其伤怜而已。诸使何为忍苦征敛，故作诗一篇以示官吏。
昔岁逢太平，山林二十年。
泉源在庭户，洞壑当门前。
井税有常期，日晏犹得眠。
忽然遭世变，数岁亲戎旃。
今来典斯郡，山夷又纷然。
城小贼不屠，人贫伤可怜。
是以陷邻境，此州独见全。
使臣将王命，岂不如贼焉？
今彼征敛者，迫之如火煎。
谁能绝人命，以作时世贤！
思欲委符节，引竿自刺船。
将家就鱼麦，归老江湖边。"
1,5分,超棒,"首先区别一下博物馆和博物院的区别:
博物院和博物馆在功能、规模、发展历程等方面存在明显的区别。博物馆通常是一个大型的、综合性的文化机构，旨在收集、保存、展示和研究各种类型的文物和标本，包括自然历史、人类历史、艺术和科技等方面的内容。而博物院则通常是一个专注于特定领域或主题的机构，比如历史、艺术、自然历史或科技等，规模相对较小。此外，博物馆和博物院的来源和发展历程也有所不同。博物馆通常是由政府或公共机构建立的，旨在为公众提供教育和娱乐服务。而博物院则通常由私人或特定组织建立，旨在展示特定领域或主题的内容。
院内分布很清哳，携接的展室紧密相连，观览顺畅不绕，观展完需要3个小时。"
1,5分,超棒,河南博物院，个人认为是国内最好的省级博物馆之一。这里的馆藏文物，以史前文物、商周青铜器、历代陶瓷器、玉器、石刻等最具特色。精品文物数量多、种类全、品位高，多来自于二十世纪初河南等地的考古发掘，历史文化艺术价值极高。
1,5分,超棒,河南博物院“玉鉴古国”红山良渚文化展研学活动，超值！大朋友小朋友们还可以做手工。有美丽小姐姐讲解红山良渚特展和西周东周展厅玉器，可以体会北方，南方和中原玉器的不同风格。红山有很漂亮的青色玉器和勾连云纹玉佩，有红山女神像场景复原，良渚玉器上的精美线条令人惊叹！当然豫博本身的展品就更震撼了！
1,5分,超棒,"河南博物院位于郑州市农业路中段，建筑宏伟壮观，以元代古观星台为原型，造型独特，充满了历史的厚重感。走进博物院，仿佛置身于一个巨大的历史文化宝库之中。

博物院的展品丰富多样，涵盖了从史前时期到近现代的各类文物。其中，基本陈列《泱泱华夏 择中建都》以中原的建都历史为主线，展示了华夏文明的发展轨迹。展厅内陈列着大量的青铜器、陶瓷器、玉器等珍贵文物，每一件都让人惊叹不已。我尤其被那件“莲鹤方壶”吸引，它造型精美，工艺精湛，是春秋时期的青铜器精品。

除了基本陈列，博物院还有许多专题展览。比如“丹淅吉金——中原楚国青铜艺术”，展示了楚国青铜器的独特魅力；“中原古代石刻艺术展”则让我领略到了古代石刻艺术的精湛技艺。

在参观过程中，我租了一个讲解器，它让我对每一件文物背后的故事有了更深入的了解。博物院内还有社会教育体验厅和华夏古乐厅，可以体验古代科技和欣赏古乐表演，让人仿佛穿越回了古代。

河南博物院不仅是一个展示文物的地方，更是一个让人深入了解中原文化和华夏文明的窗口。在这里，我感受到了历史的厚重与文化的魅力，收获满满。"
1,5分,超棒,"家人们谁懂啊！这次河南博物院之行直接把我CPU干烧了，知识含量严重超标！

一进大门，历史的厚重感扑面而来。主展馆的外观大气磅礴，飞檐斗拱之间尽显华夏古韵，还没进去就已经让人迫不及待了。

馆内藏品丰富到令人咋舌，每一件都承载着岁月的故事。莲鹤方壶十分吸睛。壶上的仙鹤振翅欲飞，灵动的姿态与庄重的青铜器形成奇妙的反差，彰显着春秋时期独特的审美与高超的铸造工艺 ，让我对古人的智慧佩服得五体投地。

在河南博物院，我不仅看到了一件件珍贵文物，更像是经历了一场华夏历史文化的奇妙之旅，每一步都收获满满。强烈推荐大家来这里感受历史的魅力，绝对能让你大开眼界，收获超多知识！"
1,5分,超棒,河南省博这个含金量就不用多说了吧，然后最近他出了那个VR的那个听说非常的火爆，到现在我也还没玩上。反正那里的历史文物真的是非常的博大精深了，毕竟中原大地皇帝辈出嘛。我还是希望很多人去了解一下历史，特别是小孩们多去，河南省博那里无论是展厅、讲解还是各项设施都非常完善的，就是博物馆太大了，你起码得花一天才能去细细的了解，而且就是走得好累。加油祖国的花朵们
1,5分,超棒,"河南博物院——隋唐盛世

武皇金简是绝对的C位，很难拍到背景无人的时候……旁边还有杨国忠银铤

各种琳琅满目的唐三彩！不管人物还是动物，文官武将天王力士仕女镇墓兽，都极其生动！

鹰首壶两面图案不一样哦！

（如果有时间的话推荐洛阳，唐三彩更多更大更好看！）"
1,5分,超棒,"河南博物院——魏晋南北朝

画像砖太美了！线条太优美太飘逸了！每一块都超美！

北齐的陶俑很好看！

石刻有佛像和贾南风奶妈的墓志铭……（贾南风亲妈善妒，堪称奶妈杀手，这位奶妈应该是因为喂的是女儿而逃过一劫了吧……）"
1,5分,超棒,"河南博物院——两汉雄风

明星文物应该是那个金缕玉衣了吧……其实还有很多有意思的文物

比如漂亮的玉舞人

金灿灿的马蹄金麟趾金

石辟邪（感觉洛阳博物馆那个更大更好看）

引人注目的是各种陶楼，有的高达七层，上面有各种人物和飞禽走兽

各种瓦当，陶俑

还有两个小可爱——鸠车（可能是汉代小朋友的玩具）和鸠杖首（高寿老爷爷用的）

但是为什么鸠杖首嘴里叼着半截青蛙？……廉颇老矣，尚能饭否？"
2,5分,超棒,"修定寺塔砖雕（难得一见，有很多已经流失海外了，河南博物院这块珍品就是死亡打光拍照效果不好……塔在安阳，据说黑神话悟空里有以之为原型……上面的砖雕极其精美，能不能联合安阳搞个复制品或者VR……）

精美的佛像，有荥阳大海寺遗址出土的佛像，据说大海寺原是李渊修建，以其规模宏大如海而得名，可惜现在只能从出土文物中想象其昔日荣光了

白釉莲花灯，造型别致，有一个同款文创冰箱贴还会亮

元结墓碑，为颜真卿书写，原碑在鲁山县，河南博物院展出的照片实在是看着有点费劲……拓片是平顶山博物馆（现在已成河南博物院分院……）拍的，看着清楚多了。颜真卿亲书的碑也不多见，应该认真观摩。

《唐诗三百首》中收录了两首元结的诗，一为《石鱼湖醉歌》，一为《贼退示官吏》，可以想见其为人。

石鱼湖上醉歌

漫叟以公田米酿酒，因休暇，则载酒于湖上，时取一醉。欢醉中，据湖岸，引臂向鱼取酒，使舫载之，遍饮坐者。意疑倚巴丘酌于君山之上，诸子环洞庭而坐，酒舫泛泛然触波涛。而往来者，乃作歌以长之。

石鱼湖，似洞庭，夏水欲满君山青。
山为樽，水为沼，酒徒历历坐洲岛。
长风连日作大浪，不能废人运酒舫。
我持长瓢坐巴丘，酌饮四坐以散愁。

贼退示官吏

癸卯岁，西原贼入道州，焚烧杀掠，几尽而去。明年，贼又攻永破邵，不犯此州边鄙而退。岂力能制敌与？盖蒙其伤怜而已。诸使何为忍苦征敛，故作诗一篇以示官吏。
昔岁逢太平，山林二十年。
泉源在庭户，洞壑当门前。
井税有常期，日晏犹得眠。
忽然遭世变，数岁亲戎旃。
今来典斯郡，山夷又纷然。
城小贼不屠，人贫伤可怜。
是以陷邻境，此州独见全。
使臣将王命，岂不如贼焉？
今彼征敛者，迫之如火煎。
谁能绝人命，以作时世贤！
思欲委符节，引竿自刺船。
将家就鱼麦，归老江湖边。"
2,5分,超棒,"首先区别一下博物馆和博物院的区别:
博物院和博物馆在功能、规模、发展历程等方面存在明显的区别。博物馆通常是一个大型的、综合性的文化机构，旨在收集、保存、展示和研究各种类型的文物和标本，包括自然历史、人类历史、艺术和科技等方面的内容。而博物院则通常是一个专注于特定领域或主题的机构，比如历史、艺术、自然历史或科技等，规模相对较小。此外，博物馆和博物院的来源和发展历程也有所不同。博物馆通常是由政府或公共机构建立的，旨在为公众提供教育和娱乐服务。而博物院则通常由私人或特定组织建立，旨在展示特定领域或主题的内容。
院内分布很清哳，携接的展室紧密相连，观览顺畅不绕，观展完需要3个小时。"
2,5分,超棒,河南博物院，个人认为是国内最好的省级博物馆之一。这里的馆藏文物，以史前文物、商周青铜器、历代陶瓷器、玉器、石刻等最具特色。精品文物数量多、种类全、品位高，多来自于二十世纪初河南等地的考古发掘，历史文化艺术价值极高。
2,5分,超棒,河南博物院“玉鉴古国”红山良渚文化展研学活动，超值！大朋友小朋友们还可以做手工。有美丽小姐姐讲解红山良渚特展和西周东周展厅玉器，可以体会北方，南方和中原玉器的不同风格。红山有很漂亮的青色玉器和勾连云纹玉佩，有红山女神像场景复原，良渚玉器上的精美线条令人惊叹！当然豫博本身的展品就更震撼了！
2,5分,超棒,"河南博物院位于郑州市农业路中段，建筑宏伟壮观，以元代古观星台为原型，造型独特，充满了历史的厚重感。走进博物院，仿佛置身于一个巨大的历史文化宝库之中。

博物院的展品丰富多样，涵盖了从史前时期到近现代的各类文物。其中，基本陈列《泱泱华夏 择中建都》以中原的建都历史为主线，展示了华夏文明的发展轨迹。展厅内陈列着大量的青铜器、陶瓷器、玉器等珍贵文物，每一件都让人惊叹不已。我尤其被那件“莲鹤方壶”吸引，它造型精美，工艺精湛，是春秋时期的青铜器精品。

除了基本陈列，博物院还有许多专题展览。比如“丹淅吉金——中原楚国青铜艺术”，展示了楚国青铜器的独特魅力；“中原古代石刻艺术展”则让我领略到了古代石刻艺术的精湛技艺。

在参观过程中，我租了一个讲解器，它让我对每一件文物背后的故事有了更深入的了解。博物院内还有社会教育体验厅和华夏古乐厅，可以体验古代科技和欣赏古乐表演，让人仿佛穿越回了古代。

河南博物院不仅是一个展示文物的地方，更是一个让人深入了解中原文化和华夏文明的窗口。在这里，我感受到了历史的厚重与文化的魅力，收获满满。"
2,5分,超棒,"家人们谁懂啊！这次河南博物院之行直接把我CPU干烧了，知识含量严重超标！

一进大门，历史的厚重感扑面而来。主展馆的外观大气磅礴，飞檐斗拱之间尽显华夏古韵，还没进去就已经让人迫不及待了。

馆内藏品丰富到令人咋舌，每一件都承载着岁月的故事。莲鹤方壶十分吸睛。壶上的仙鹤振翅欲飞，灵动的姿态与庄重的青铜器形成奇妙的反差，彰显着春秋时期独特的审美与高超的铸造工艺 ，让我对古人的智慧佩服得五体投地。

在河南博物院，我不仅看到了一件件珍贵文物，更像是经历了一场华夏历史文化的奇妙之旅，每一步都收获满满。强烈推荐大家来这里感受历史的魅力，绝对能让你大开眼界，收获超多知识！"
2,5分,超棒,河南省博这个含金量就不用多说了吧，然后最近他出了那个VR的那个听说非常的火爆，到现在我也还没玩上。反正那里的历史文物真的是非常的博大精深了，毕竟中原大地皇帝辈出嘛。我还是希望很多人去了解一下历史，特别是小孩们多去，河南省博那里无论是展厅、讲解还是各项设施都非常完善的，就是博物馆太大了，你起码得花一天才能去细细的了解，而且就是走得好累。加油祖国的花朵们
2,5分,超棒,"河南博物院——隋唐盛世

武皇金简是绝对的C位，很难拍到背景无人的时候……旁边还有杨国忠银铤

各种琳琅满目的唐三彩！不管人物还是动物，文官武将天王力士仕女镇墓兽，都极其生动！

鹰首壶两面图案不一样哦！

（如果有时间的话推荐洛阳，唐三彩更多更大更好看！）"
2,5分,超棒,"河南博物院——魏晋南北朝

画像砖太美了！线条太优美太飘逸了！每一块都超美！

北齐的陶俑很好看！

石刻有佛像和贾南风奶妈的墓志铭……（贾南风亲妈善妒，堪称奶妈杀手，这位奶妈应该是因为喂的是女儿而逃过一劫了吧……）"
2,5分,超棒,"河南博物院——两汉雄风

明星文物应该是那个金缕玉衣了吧……其实还有很多有意思的文物

比如漂亮的玉舞人

金灿灿的马蹄金麟趾金

石辟邪（感觉洛阳博物馆那个更大更好看）

引人注目的是各种陶楼，有的高达七层，上面有各种人物和飞禽走兽

各种瓦当，陶俑

还有两个小可爱——鸠车（可能是汉代小朋友的玩具）和鸠杖首（高寿老爷爷用的）

但是为什么鸠杖首嘴里叼着半截青蛙？……廉颇老矣，尚能饭否？"
3,5分,超棒,"修定寺塔砖雕（难得一见，有很多已经流失海外了，河南博物院这块珍品就是死亡打光拍照效果不好……塔在安阳，据说黑神话悟空里有以之为原型……上面的砖雕极其精美，能不能联合安阳搞个复制品或者VR……）

精美的佛像，有荥阳大海寺遗址出土的佛像，据说大海寺原是李渊修建，以其规模宏大如海而得名，可惜现在只能从出土文物中想象其昔日荣光了

白釉莲花灯，造型别致，有一个同款文创冰箱贴还会亮

元结墓碑，为颜真卿书写，原碑在鲁山县，河南博物院展出的照片实在是看着有点费劲……拓片是平顶山博物馆（现在已成河南博物院分院……）拍的，看着清楚多了。颜真卿亲书的碑也不多见，应该认真观摩。

《唐诗三百首》中收录了两首元结的诗，一为《石鱼湖醉歌》，一为《贼退示官吏》，可以想见其为人。

石鱼湖上醉歌

漫叟以公田米酿酒，因休暇，则载酒于湖上，时取一醉。欢醉中，据湖岸，引臂向鱼取酒，使舫载之，遍饮坐者。意疑倚巴丘酌于君山之上，诸子环洞庭而坐，酒舫泛泛然触波涛。而往来者，乃作歌以长之。

石鱼湖，似洞庭，夏水欲满君山青。
山为樽，水为沼，酒徒历历坐洲岛。
长风连日作大浪，不能废人运酒舫。
我持长瓢坐巴丘，酌饮四坐以散愁。

贼退示官吏

癸卯岁，西原贼入道州，焚烧杀掠，几尽而去。明年，贼又攻永破邵，不犯此州边鄙而退。岂力能制敌与？盖蒙其伤怜而已。诸使何为忍苦征敛，故作诗一篇以示官吏。
昔岁逢太平，山林二十年。
泉源在庭户，洞壑当门前。
井税有常期，日晏犹得眠。
忽然遭世变，数岁亲戎旃。
今来典斯郡，山夷又纷然。
城小贼不屠，人贫伤可怜。
是以陷邻境，此州独见全。
使臣将王命，岂不如贼焉？
今彼征敛者，迫之如火煎。
谁能绝人命，以作时世贤！
思欲委符节，引竿自刺船。
将家就鱼麦，归老江湖边。"
3,5分,超棒,"首先区别一下博物馆和博物院的区别:
博物院和博物馆在功能、规模、发展历程等方面存在明显的区别。博物馆通常是一个大型的、综合性的文化机构，旨在收集、保存、展示和研究各种类型的文物和标本，包括自然历史、人类历史、艺术和科技等方面的内容。而博物院则通常是一个专注于特定领域或主题的机构，比如历史、艺术、自然历史或科技等，规模相对较小。此外，博物馆和博物院的来源和发展历程也有所不同。博物馆通常是由政府或公共机构建立的，旨在为公众提供教育和娱乐服务。而博物院则通常由私人或特定组织建立，旨在展示特定领域或主题的内容。
院内分布很清哳，携接的展室紧密相连，观览顺畅不绕，观展完需要3个小时。"
3,5分,超棒,河南博物院，个人认为是国内最好的省级博物馆之一。这里的馆藏文物，以史前文物、商周青铜器、历代陶瓷器、玉器、石刻等最具特色。精品文物数量多、种类全、品位高，多来自于二十世纪初河南等地的考古发掘，历史文化艺术价值极高。
3,5分,超棒,河南博物院“玉鉴古国”红山良渚文化展研学活动，超值！大朋友小朋友们还可以做手工。有美丽小姐姐讲解红山良渚特展和西周东周展厅玉器，可以体会北方，南方和中原玉器的不同风格。红山有很漂亮的青色玉器和勾连云纹玉佩，有红山女神像场景复原，良渚玉器上的精美线条令人惊叹！当然豫博本身的展品就更震撼了！
3,5分,超棒,"河南博物院位于郑州市农业路中段，建筑宏伟壮观，以元代古观星台为原型，造型独特，充满了历史的厚重感。走进博物院，仿佛置身于一个巨大的历史文化宝库之中。

博物院的展品丰富多样，涵盖了从史前时期到近现代的各类文物。其中，基本陈列《泱泱华夏 择中建都》以中原的建都历史为主线，展示了华夏文明的发展轨迹。展厅内陈列着大量的青铜器、陶瓷器、玉器等珍贵文物，每一件都让人惊叹不已。我尤其被那件“莲鹤方壶”吸引，它造型精美，工艺精湛，是春秋时期的青铜器精品。

除了基本陈列，博物院还有许多专题展览。比如“丹淅吉金——中原楚国青铜艺术”，展示了楚国青铜器的独特魅力；“中原古代石刻艺术展”则让我领略到了古代石刻艺术的精湛技艺。

在参观过程中，我租了一个讲解器，它让我对每一件文物背后的故事有了更深入的了解。博物院内还有社会教育体验厅和华夏古乐厅，可以体验古代科技和欣赏古乐表演，让人仿佛穿越回了古代。

河南博物院不仅是一个展示文物的地方，更是一个让人深入了解中原文化和华夏文明的窗口。在这里，我感受到了历史的厚重与文化的魅力，收获满满。"
3,5分,超棒,"家人们谁懂啊！这次河南博物院之行直接把我CPU干烧了，知识含量严重超标！

一进大门，历史的厚重感扑面而来。主展馆的外观大气磅礴，飞檐斗拱之间尽显华夏古韵，还没进去就已经让人迫不及待了。

馆内藏品丰富到令人咋舌，每一件都承载着岁月的故事。莲鹤方壶十分吸睛。壶上的仙鹤振翅欲飞，灵动的姿态与庄重的青铜器形成奇妙的反差，彰显着春秋时期独特的审美与高超的铸造工艺 ，让我对古人的智慧佩服得五体投地。

在河南博物院，我不仅看到了一件件珍贵文物，更像是经历了一场华夏历史文化的奇妙之旅，每一步都收获满满。强烈推荐大家来这里感受历史的魅力，绝对能让你大开眼界，收获超多知识！"
